ISIN,coupon,Issue Date,maturity,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29
CA135087J884,0.0175,2/11/2019,2021-05-01,100.4800,100.4700,100.4600,100.4500,100.4400,100.4400,100.4300,100.4300,100.4200,100.4100
CA135087K296,0.0150,5/6/2019,2021-08-01,100.7600,100.7500,100.7300,100.7200,100.7200,100.7100,100.7100,100.7100,100.7000,100.7000
CA135087K601,0.0150,11/4/2019,2022-02-01,101.4400,101.4400,101.4100,101.4000,101.4000,101.3800,101.3800,101.3900,101.3800,101.3800
CA135087L286,0.0025,5/4/2020,2022-08-01,100.2000,100.1900,100.1600,100.1600,100.1600,100.1400,100.1500,100.1700,100.1800,100.1800
CA135087L773,0.0025,10/26/2020,2023-02-01,100.1300,100.1200,100.1000,100.1000,100.1000,100.0800,100.0900,100.1200,100.1200,100.1300
CA135087A610,0.0150,7/30/2012,2023-06-01,103.1300,103.1400,103.1000,103.0900,103.0900,103.0400,103.0600,103.1000,103.0800,103.0600
CA135087J546,0.0225,10/5/2018,2024-03-01,106.2100,106.2100,106.1700,106.1500,106.1700,106.1200,106.1800,106.2200,106.1900,106.1800
CA135087J967,0.0150,4/5/2019,2024-09-01,104.2700,104.2800,104.2500,104.1900,104.2400,104.2900,104.2600,104.3200,104.2400,104.2400
CA135087K528,0.0125,10/11/2019,2025-03-01,103.6000,103.6000,103.5900,103.5100,103.5400,103.6200,103.5900,103.6600,103.6100,103.5700
CA135087K940,0.0050,4/3/2020,2025-09-01,100.3300,100.3200,100.3000,100.2200,100.2700,100.3700,100.3300,100.4200,100.3500,100.3300
