maturitydate,date,time_to_mat,spot_rate
2021-05-01,2021-01-18,0.2821918,0.001765609
2021-08-01,2021-01-18,0.5342466,0.002263598
2022-02-01,2021-01-18,1.038356,0.00245419
2022-08-01,2021-01-18,1.534247,0.003800603
2023-02-01,2021-01-18,2.038356,0.007766054
2023-06-01,2021-01-18,2.367123,0.01581376
2024-03-01,2021-01-18,3.117808,0.02940695
2024-09-01,2021-01-18,3.621918,0.05000883
2025-03-01,2021-01-18,4.117808,0.07908262
2025-09-01,2021-01-18,4.621918,0.1180915
2021-05-01,2021-01-19,0.2794521,0.001997535
2021-08-01,2021-01-19,0.5315068,0.002179745
2022-02-01,2021-01-19,1.035616,0.002578723
2022-08-01,2021-01-19,1.531507,0.003894366
2023-02-01,2021-01-19,2.035616,0.006826573
2023-06-01,2021-01-19,2.364384,0.01207524
2024-03-01,2021-01-19,3.115068,0.02034028
2024-09-01,2021-01-19,3.619178,0.03232157
2025-03-01,2021-01-19,4.115068,0.04871902
2025-09-01,2021-01-19,4.619178,0.070232529
2021-05-01,2021-01-20,0.2767123,0.002627253
2021-08-01,2021-01-20,0.5287671,0.002692088
2022-02-01,2021-01-20,1.032877,0.002970507
2022-08-01,2021-01-20,1.528767,0.004088359
2023-02-01,2021-01-20,2.032877,0.006671493
2023-06-01,2021-01-20,2.361644,0.01134576
2024-03-01,2021-01-20,3.112329,0.018737
2024-09-01,2021-01-20,3.616438,0.02947108
2025-03-01,2021-01-20,4.112329,0.04417383
2025-09-01,2021-01-20,4.616438,0.063471109
2021-05-01,2021-01-21,0.2739726,0.002859329
2021-08-01,2021-01-21,0.5260274,0.002807497
2022-02-01,2021-01-21,1.030137,0.002961009
2022-08-01,2021-01-21,1.526027,0.00408121
2023-02-01,2021-01-21,2.030137,0.006929443
2023-06-01,2021-01-21,2.358904,0.01226705
2024-03-01,2021-01-21,3.109589,0.02085538
2024-09-01,2021-01-21,3.613699,0.03345577
2025-03-01,2021-01-21,4.109589,0.05082957
2025-09-01,2021-01-21,4.613699,0.07373812
2021-05-01,2021-01-22,0.2712329,0.002693557
2021-08-01,2021-01-22,0.5232877,0.00272506
2022-02-01,2021-01-22,1.027397,0.002951844
2022-08-01,2021-01-22,1.523288,0.004074311
2023-02-01,2021-01-22,2.027397,0.006792865
2023-06-01,2021-01-22,2.356164,0.01180791
2024-03-01,2021-01-22,3.106849,0.01981984
2024-09-01,2021-01-22,3.610959,0.03152908
2025-03-01,2021-01-22,4.106849,0.04763601
2025-09-01,2021-01-22,4.610959,0.06884104
2021-05-01,2021-01-25,0.2630137,0.002594103
2021-08-01,2021-01-25,0.5150685,0.002874938
2022-02-01,2021-01-25,1.019178,0.003191854
2022-08-01,2021-01-25,1.515068,0.004254967
2023-02-01,2021-01-25,2.019178,0.006774394
2023-06-01,2021-01-25,2.347945,0.01146025
2024-03-01,2021-01-25,3.09863,0.01902265
2024-09-01,2021-01-25,3.60274,0.03017171
2025-03-01,2021-01-25,4.09863,0.04561756
2025-09-01,2021-01-25,4.60274,0.06607029
2021-05-01,2021-01-26,0.260274,0.002428363
2021-08-01,2021-01-26,0.5123288,0.002792493
2022-02-01,2021-01-26,1.016438,0.003048666
2022-08-01,2021-01-26,1.512329,0.00414719
2023-02-01,2021-01-26,2.016438,0.007038369
2023-06-01,2021-01-26,2.345205,0.01267251
2024-03-01,2021-01-26,3.09589,0.02199992
2024-09-01,2021-01-26,3.6,0.03597091
2025-03-01,2021-01-26,4.09589,0.05553578
2025-09-01,2021-01-26,4.6,0.08164483
2021-05-01,2021-01-27,0.2575342,0.002262643
2021-08-01,2021-01-27,0.509589,0.00251077
2022-02-01,2021-01-27,1.013699,0.002771744
2022-08-01,2021-01-27,1.509589,0.003837829
2023-02-01,2021-01-27,2.013699,0.006501293
2023-06-01,2021-01-27,2.342466,0.0115544
2024-03-01,2021-01-27,3.093151,0.01978942
2024-09-01,2021-01-27,3.59726,0.03199861
2025-03-01,2021-01-27,4.093151,0.04897424
2025-09-01,2021-01-27,4.59726,0.07150858
2021-05-01,2021-01-28,0.2547945,0.002494656
2021-08-01,2021-01-28,0.5068493,0.002626149
2022-02-01,2021-01-28,1.010959,0.002628347
2022-08-01,2021-01-28,1.506849,0.003830811
2023-02-01,2021-01-28,2.010959,0.007563103
2023-06-01,2021-01-28,2.339726,0.01515478
2024-03-01,2021-01-28,3.090411,0.02793541
2024-09-01,2021-01-28,3.594521,0.04723455
2025-03-01,2021-01-28,4.090411,0.07438175
2025-09-01,2021-01-28,4.594521,0.1107066
2021-05-01,2021-01-29,0.2520548,0.002328929
2021-08-01,2021-01-29,0.5041096,0.002543734
2022-02-01,2021-01-29,1.008219,0.002619187
2022-08-01,2021-01-29,1.50411,0.003723029
2023-02-01,2021-01-29,2.008219,0.007022996
2023-06-01,2021-01-29,2.336986,0.01368683
2024-03-01,2021-01-29,3.087671,0.02488227
2024-09-01,2021-01-29,3.591781,0.04177705
2025-03-01,2021-01-29,4.087671,0.06553891
2025-09-01,2021-01-29,4.591781,0.09733559
